2022-07-22 18:40:49 INFO  Logs:42 - GET request status code : 401
2022-07-22 19:20:52 INFO  Logs:43 - GET request status code : 401
2022-07-22 19:39:06 INFO  Logs:42 - Unauthorised Access login GET request status code : 401
2022-07-22 19:39:06 INFO  Logs:68 - Recipes data GET request status code : 200
2022-07-22 19:39:07 INFO  Logs:87 - Recipes data with RecipeFoodCategory GET request status code : 200
2022-07-22 19:43:58 INFO  Logs:42 - Unauthorised Access login GET request status code : 401
2022-07-22 19:43:58 INFO  Logs:68 - Recipes data GET request status code : 200
2022-07-22 19:43:59 INFO  Logs:87 - Recipes data with RecipeFoodCategory GET request status code : 200
2022-07-22 19:43:59 INFO  Logs:106 - Recipes data with RecipeType GET request status code : 200
2022-07-22 19:43:59 INFO  Logs:124 - Recipes data with RecipeIngredient GET request status code : 200
2022-07-22 19:43:59 INFO  Logs:142 - Recipes data with RecipeNutrient GET request status code : 200
2022-07-22 19:43:59 INFO  Logs:142 - Recipes data with RecipeNutrient GET request status code : 200
2022-07-22 19:43:59 INFO  Logs:161 - Recipes data with invalid RecipeNutrient GET request status code : 200
2022-07-23 12:27:41 INFO  Logs:45 - Unauthorised Access login GET request status code : 401
2022-07-23 12:27:41 INFO  Logs:71 - Recipes data GET request status code : 200
2022-07-23 12:27:41 INFO  Logs:72 - ************** Schema Validation ************************* 
2022-07-23 12:27:42 INFO  Logs:78 - Schema validation success
2022-07-23 12:27:43 INFO  Logs:101 - Recipes data with RecipeFoodCategory GET request status code : 200
2022-07-23 12:27:43 INFO  Logs:120 - Recipes data with RecipeType GET request status code : 200
2022-07-23 12:27:43 INFO  Logs:138 - Recipes data with RecipeIngredient GET request status code : 200
2022-07-23 12:27:43 INFO  Logs:156 - Recipes data with RecipeNutrient GET request status code : 200
2022-07-23 12:27:43 INFO  Logs:156 - Recipes data with RecipeNutrient GET request status code : 200
2022-07-23 12:27:43 INFO  Logs:175 - Recipes data with invalid RecipeNutrient GET request status code : 200
